,src,dst,time,ext_roll
0,3,5,0,0
1,3,11,0,0
2,3,18,0,0
3,3,21,0,0
4,4,5,0,0
5,4,11,0,0
6,4,18,0,0
7,4,21,0,0
8,21,5,0,0
9,21,11,0,0
10,21,18,0,0
11,3,6,28,0
12,3,12,28,0
13,3,21,35,0
14,12,21,35,0
15,21,3,36,0
16,27,4,40,0
17,3,20,43,0
18,3,14,77,0
19,14,10,78,0
20,14,3,180,0
21,14,10,180,0
22,14,11,180,0
23,14,18,180,0
24,14,21,180,0
25,3,12,181,0
26,10,12,181,0
27,11,12,181,0
28,14,12,181,0
29,18,12,181,0
30,21,12,181,0
31,4,20,187,0
32,5,20,187,0
33,20,3,188,0
34,20,4,188,0
35,20,21,188,0
36,3,21,189,0
37,4,21,189,0
38,21,6,190,0
39,28,14,194,0
40,29,14,194,0
41,14,3,195,0
42,14,6,195,0
43,3,11,196,0
44,3,18,196,0
45,6,3,196,0
46,6,11,196,0
47,6,18,196,0
48,14,3,196,0
49,14,11,196,0
50,14,18,196,0
51,22,23,229,0
52,22,25,229,0
53,22,29,229,0
54,22,0,229,0
55,22,1,229,0
56,22,3,229,0
57,22,4,229,0
58,22,5,229,0
59,22,6,229,0
60,22,7,229,0
61,22,8,229,0
62,22,9,229,0
63,22,10,229,0
64,22,11,229,0
65,22,12,229,0
66,22,13,229,0
67,22,14,229,0
68,22,15,229,0
69,22,16,229,0
70,22,18,229,0
71,22,19,229,0
72,22,20,229,0
73,22,21,229,0
74,23,22,229,0
75,23,25,229,0
76,23,29,229,0
77,23,0,229,0
78,23,1,229,0
79,23,3,229,0
80,23,4,229,0
81,23,5,229,0
82,23,6,229,0
83,23,7,229,0
84,23,8,229,0
85,23,9,229,0
86,23,10,229,0
87,23,11,229,0
88,23,12,229,0
89,23,13,229,0
90,23,14,229,0
91,23,15,229,0
92,23,16,229,0
93,23,18,229,0
94,23,19,229,0
95,23,20,229,0
96,23,21,229,0
97,4,22,229,0
98,4,23,229,0
99,4,25,229,0
100,4,29,229,0
101,4,0,229,0
102,4,1,229,0
103,4,3,229,0
104,4,5,229,0
105,4,6,229,0
106,4,7,229,0
107,4,8,229,0
108,4,9,229,0
109,4,10,229,0
110,4,11,229,0
111,4,12,229,0
112,4,13,229,0
113,4,14,229,0
114,4,15,229,0
115,4,16,229,0
116,4,18,229,0
117,4,19,229,0
118,4,20,229,0
119,4,21,229,0
120,5,22,229,0
121,5,23,229,0
122,5,25,229,0
123,5,29,229,0
124,5,0,229,0
125,5,1,229,0
126,5,3,229,0
127,5,4,229,0
128,5,6,229,0
129,5,7,229,0
130,5,8,229,0
131,5,9,229,0
132,5,10,229,0
133,5,11,229,0
134,5,12,229,0
135,5,13,229,0
136,5,14,229,0
137,5,15,229,0
138,5,16,229,0
139,5,18,229,0
140,5,19,229,0
141,5,20,229,0
142,5,21,229,0
143,13,22,229,0
144,13,23,229,0
145,13,25,229,0
146,13,29,229,0
147,13,0,229,0
148,13,1,229,0
149,13,3,229,0
150,13,4,229,0
151,13,5,229,0
152,13,6,229,0
153,13,7,229,0
154,13,8,229,0
155,13,9,229,0
156,13,10,229,0
157,13,11,229,0
158,13,12,229,0
