,src,dst,time,ext_roll
0,6,26,0,0
1,4,7,27,0
2,7,14,28,0
3,7,15,28,0
4,5,27,35,0
5,5,29,35,0
6,5,11,35,0
7,5,12,35,0
8,3,4,42,0
9,3,5,42,0
10,3,11,42,0
11,3,18,42,0
12,3,20,42,0
13,3,21,42,0
14,4,5,42,0
15,4,11,42,0
16,4,18,42,0
17,4,20,42,0
18,4,21,42,0
19,21,4,42,0
20,21,5,42,0
21,21,11,42,0
22,21,18,42,0
23,21,20,42,0
24,5,4,43,0
25,11,4,43,0
26,18,4,43,0
27,20,4,43,0
28,21,4,43,0
29,3,4,57,0
30,3,5,57,0
31,3,6,57,0
32,3,8,57,0
33,3,13,57,0
34,3,18,57,0
35,11,4,57,0
36,11,5,57,0
37,11,6,57,0
38,11,8,57,0
39,11,13,57,0
40,11,18,57,0
41,21,4,57,0
42,21,5,57,0
43,21,6,57,0
44,21,8,57,0
45,21,13,57,0
46,21,18,57,0
47,3,6,70,0
48,3,12,70,0
49,3,21,77,0
50,12,3,77,0
51,12,21,77,0
52,21,3,78,0
53,27,4,82,0
54,3,20,85,0
55,14,2,92,0
56,21,2,92,0
57,25,20,96,0
58,4,3,118,0
59,4,7,118,0
60,3,10,119,0
61,3,14,119,0
62,3,15,119,0
63,7,10,119,0
64,7,14,119,0
65,7,15,119,0
66,10,2,120,0
67,10,14,120,0
68,10,18,120,0
69,14,2,120,0
70,14,10,120,0
71,14,18,120,0
72,15,2,120,0
73,15,10,120,0
74,15,14,120,0
75,15,18,120,0
76,28,3,125,0
77,10,11,134,0
78,18,11,134,0
79,21,11,134,0
80,28,11,138,0
81,2,4,203,0
82,2,12,203,0
83,28,14,208,0
84,29,3,215,0
85,10,3,215,0
86,3,5,216,0
87,5,14,217,0
88,14,3,218,0
89,14,3,222,0
90,14,10,222,0
91,14,11,222,0
92,14,18,222,0
93,14,21,222,0
94,3,12,223,0
95,3,14,223,0
96,3,15,223,0
97,10,12,223,0
98,10,14,223,0
99,10,15,223,0
100,11,12,223,0
101,11,14,223,0
102,11,15,223,0
103,14,12,223,0
104,14,15,223,0
105,18,12,223,0
106,18,14,223,0
107,18,15,223,0
108,21,12,223,0
109,21,14,223,0
110,21,15,223,0
111,12,20,224,0
112,12,21,224,0
113,14,20,224,0
114,14,21,224,0
115,15,20,224,0
116,15,21,224,0
117,20,18,225,0
118,20,21,225,0
119,21,18,225,0
120,4,20,229,0
121,5,20,229,0
122,20,3,230,0
123,20,4,230,0
124,20,21,230,0
125,3,21,231,0
126,4,21,231,0
127,21,6,232,0
128,28,14,236,0
129,29,14,236,0
130,14,3,237,0
131,14,6,237,0
132,3,11,238,0
133,3,18,238,0
134,6,3,238,0
135,6,11,238,0
136,6,18,238,0
137,14,3,238,0
138,14,11,238,0
139,14,18,238,0
140,3,2,239,0
141,3,4,239,0
142,3,5,239,0
143,3,21,239,0
144,11,2,239,0
145,11,4,239,0
146,11,5,239,0
147,11,21,239,0
148,18,2,239,0
149,18,4,239,0
150,18,5,239,0
151,18,21,239,0
152,5,29,243,0
153,5,2,243,0
154,5,4,243,0
155,5,12,243,0
156,6,29,243,0
157,6,2,243,0
